Court,Date,Session Name,Start Time,End Time,Interval (min),Category,SubCategory,Capacity,Restrictions,Court Cost,Guest Price,Member Price
"Bubble Court 3","2025-06-04","Fitness (U10+U12 2/3/4 Star)","18:00","18:30","30","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-04","Junior U12 - 3 Star","18:30","20:30","120","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-04","Adult 3.0","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-04","All court times & fees 2","22:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-04","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-05","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-05","All court times & fees 2","06:30","12:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-05","Coaching: Caglar","12:00","14:00","120","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","All court times & fees 2","14:00","15:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-05","Coaching: Caglar","15:00","16:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","Junior Develop Orange Ball (Tue/Thu)","16:00","17:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","Develop U14 Group (Thursday no fitness)","17:30","19:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","Adult 4.0-4.5","19:00","20:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","Adult 5.0","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-05","All court times & fees 2","22:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-05","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-06","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-06","Junior U15 Provincial Group","06:30","08:30","120","2000","2020","0","None","0","0","0"
"Bubble Court 3","2025-06-06","All court times & fees 2","08:30","11:30","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-06","D1 rescheduled booking","11:30","12:30","60","1000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-06","All court times & fees 2","12:30","14:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-06","Booking","14:00","16:00","120","1000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-06","All court times & fees 2","16:00","17:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-06","RRT-Jazmin","17:00","20:00","180","3000","3010","0","None","0","0","0"
"Bubble Court 3","2025-06-06","All court times & fees 2","20:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-06","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-07","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-07","Closed","06:30","07:00","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-07","Junior Saturday Match Play","07:00","09:00","120","2000","2020","0","None","0","0","0"
"Bubble Court 3","2025-06-07","Instructor Course","09:00","17:00","480","3000","3010","0","None","0","0","0"
